time, delta, omega,  eq_t, eq_s,  ed_s, 	theta_bus1,  theta_bus3,  V_Bus1,  V_Bus3,  vf,  pm,  p, q 
 0.00000, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.00100, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.00200, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.00300, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.00400, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.00500, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.00600, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.00700, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.00800, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.00900, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.01000, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.01100, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.01200, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.01300, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.01400, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.01500, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.01600, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.01700, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.01800, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.01900, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.02000, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.02100, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.02200, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.02300, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.02400, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.02500, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
 0.02600, 0.90924, 1.00000, 0.94640, 0.91873, 0.54831, 0.25487, 0.00000, 1.05000, 1.00000, 1.50719, 0.54054, 0.54054, 0.07822  
